"ArtistNationality","Medium","Dimensions","Classification","Artist","URL","CuratorApproved","Title","DateAcquired","Date","HasExtraText","Department","MoMANumber","ArtistBio","CreditLine","ObjectID","ExtraText"
"AMERICAN","One from a portfolio of 36 woodcuts and letterpress, mounted on paper","composition: 8 x 6"" (20.3 x 15.2 cm); sheet: 16 x 13"" (40.7 x 33 cm)","Print","Zarina","http://www.moma.org/collection/works/136013","Y","Threshold from Home Is a Foreign Place","2009-11-17","1999","Y","Prints & Illustrated Books","1371.2009.2","(American, born India 1937)","Acquired through the generosity of Marie-Josée and Henry R. Kravis in honor of Edgar Wachenheim III","136013","Zarina lived in Bangkok, Delhi, Paris, Bonn, Tokyo, Los Angeles, and Santa Cruz before settling in New York in 1976. Although she also works in sculpture and drawing, woodcuts have been of primary importance in her work over the last several decades. Each of the sheets in Home Is a Foreign Place bears an abstract image and a word printed in Urdu, the artist's mother tongue. The terms she chose, such as ""threshold,"" ""border,"" ""country"" and ""door,"" paired with her minimal images, create a lexicon relating to the theme of home."
"","Periodical","page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)","Periodical","","http://www.moma.org/collection/works/144263","Y","Die Aktion, vol. 3, no. 8","2010-11-10","February 19, 1913","Y","Prints & Illustrated Books","947.2010.58","","Committee on Prints and Illustrated Books Fund and The Library Council","144263","In 1911 Franz Pfemfert, a cantankerous critic of capitalism and Wilhelmine society, founded Die Aktion as a political and literary journal. In April of the following year, a new subtitle declared the journal a ""weekly for politics, literature, and art."" Although politics remained the priority, Die Aktion began featuring visual art coverage as well as original prints and illustrations. Artist Max Oppenheimer (MOPP) worked closely with Die Aktion in its early years, portraying in its pages many of the young writers who gave the journal its distinctive voice. Egon Schiele made his first woodcuts at Pfemfert's urging in 1916, for publication in the journal. Other frequent contributors included Ludwig Meidner and, later, Conrad Felixmüller and Karl Schmidt-Rottluff. Adamantly opposed to World War I, Pfemfert skirted tightened censorship from August 1914 to October 1918 by treating contemporary events only through artistic and literary allusions. At a time when reading books by foreign authors was considered unpatriotic, he dedicated entire issues of Die Aktion to Russian, French, and Belgian authors and artists. In late 1918, however, Pfemfert resumed vocal political critique, siding with the radical left. His selection of prints, formerly varied, became overtly political. After 1921, he ceased art coverage altogether, decreased the number of issues, and used the publication exclusively as a mouthpiece for his own increasingly partisan views."
"","Periodical with reproduction on cover","page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)","Periodical","","http://www.moma.org/collection/works/144379","Y","Die Aktion, vol. 6, no. 5/6","2010-11-10","February 5, 1916","Y","Prints & Illustrated Books","947.2010.174","","Committee on Prints and Illustrated Books Fund and The Library Council","144379","In 1911 Franz Pfemfert, a cantankerous critic of capitalism and Wilhelmine society, founded Die Aktion as a political and literary journal. In April of the following year, a new subtitle declared the journal a ""weekly for politics, literature, and art."" Although politics remained the priority, Die Aktion began featuring visual art coverage as well as original prints and illustrations. Artist Max Oppenheimer (MOPP) worked closely with Die Aktion in its early years, portraying in its pages many of the young writers who gave the journal its distinctive voice. Egon Schiele made his first woodcuts at Pfemfert's urging in 1916, for publication in the journal. Other frequent contributors included Ludwig Meidner and, later, Conrad Felixmüller and Karl Schmidt-Rottluff. Adamantly opposed to World War I, Pfemfert skirted tightened censorship from August 1914 to October 1918 by treating contemporary events only through artistic and literary allusions. At a time when reading books by foreign authors was considered unpatriotic, he dedicated entire issues of Die Aktion to Russian, French, and Belgian authors and artists. In late 1918, however, Pfemfert resumed vocal political critique, siding with the radical left. His selection of prints, formerly varied, became overtly political. After 1921, he ceased art coverage altogether, decreased the number of issues, and used the publication exclusively as a mouthpiece for his own increasingly partisan views."
"","Periodical with reproduction on cover","page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)","Periodical","","http://www.moma.org/collection/works/144418","Y","Die Aktion, vol. 7, no. 29/30","2010-11-10","July 28, 1917","Y","Prints & Illustrated Books","947.2010.213","","Committee on Prints and Illustrated Books Fund and The Library Council","144418","In 1911 Franz Pfemfert, a cantankerous critic of capitalism and Wilhelmine society, founded Die Aktion as a political and literary journal. In April of the following year, a new subtitle declared the journal a ""weekly for politics, literature, and art."" Although politics remained the priority, Die Aktion began featuring visual art coverage as well as original prints and illustrations. Artist Max Oppenheimer (MOPP) worked closely with Die Aktion in its early years, portraying in its pages many of the young writers who gave the journal its distinctive voice. Egon Schiele made his first woodcuts at Pfemfert's urging in 1916, for publication in the journal. Other frequent contributors included Ludwig Meidner and, later, Conrad Felixmüller and Karl Schmidt-Rottluff. Adamantly opposed to World War I, Pfemfert skirted tightened censorship from August 1914 to October 1918 by treating contemporary events only through artistic and literary allusions. At a time when reading books by foreign authors was considered unpatriotic, he dedicated entire issues of Die Aktion to Russian, French, and Belgian authors and artists. In late 1918, however, Pfemfert resumed vocal political critique, siding with the radical left. His selection of prints, formerly varied, became overtly political. After 1921, he ceased art coverage altogether, decreased the number of issues, and used the publication exclusively as a mouthpiece for his own increasingly partisan views."
"","Periodical with reproduction on cover","page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)","Periodical","","http://www.moma.org/collection/works/144488","Y","Die Aktion, vol. 10, no. 7/8","2010-11-10","February 21, 1920","Y","Prints & Illustrated Books","947.2010.283","","Committee on Prints and Illustrated Books Fund and The Library Council","144488","In 1911 Franz Pfemfert, a cantankerous critic of capitalism and Wilhelmine society, founded Die Aktion as a political and literary journal. In April of the following year, a new subtitle declared the journal a ""weekly for politics, literature, and art."" Although politics remained the priority, Die Aktion began featuring visual art coverage as well as original prints and illustrations. Artist Max Oppenheimer (MOPP) worked closely with Die Aktion in its early years, portraying in its pages many of the young writers who gave the journal its distinctive voice. Egon Schiele made his first woodcuts at Pfemfert's urging in 1916, for publication in the journal. Other frequent contributors included Ludwig Meidner and, later, Conrad Felixmüller and Karl Schmidt-Rottluff. Adamantly opposed to World War I, Pfemfert skirted tightened censorship from August 1914 to October 1918 by treating contemporary events only through artistic and literary allusions. At a time when reading books by foreign authors was considered unpatriotic, he dedicated entire issues of Die Aktion to Russian, French, and Belgian authors and artists. In late 1918, however, Pfemfert resumed vocal political critique, siding with the radical left. His selection of prints, formerly varied, became overtly political. After 1921, he ceased art coverage altogether, decreased the number of issues, and used the publication exclusively as a mouthpiece for his own increasingly partisan views."
"AMERICAN","Ink on paper","8 1/2 x 11 x 13/16"" (21.6 x 28 x 2 cm)","A&D Design","Matt Kenyon, Douglas Easterly, SWAMP","http://www.moma.org/collection/works/146252","Y","Notepad","2012-02-09","2007","Y","Architecture & Design","159.2012.1-3","(American, born 1977) (American, born 1968) (USA, est. 1999)","Gift of the designer","146252","Notepad is an act of protest and commemoration disguised as a stack of ordinary yellow legal pads. Each ruled line, when magnified, is revealed to be microprinted text enumerating the full names, dates, and locations of each Iraqi civilian death on record over the first three years of the Iraq War. The designers imagine each printed edition of one hundred notepads, meant to be covertly distributed to United States representatives and senators, as a sort of Trojan horse, injecting transgressive data straight into the halls of power and eventually filed and memorialized in official archives. SWAMP is now working on an edition that takes into account the American incursion into Afghanistan; with the disclosure of confidential information by WikiLeaks, the designers plan to continue updating the project."
"FRENCH","One from an album of 50 lithographs","composition and sheet: 12 9/16 x 9 13/16"" (31.9 x 24.9 cm)","Print","Henri de Toulouse-Lautrec","http://www.moma.org/collection/works/152669","Y","Romain Coolus, program for Rafaël and Salomé from The Beraldi Album of Theatre Programs","2008-03-12","1896","Y","Prints & Illustrated Books","289.2008.33","(French, 1864–1901)","Johanna and Leslie J. Garfield Fund, Mary Ellen Oldenburg Fund, and Sharon P. Rockefeller Fund","152669","Lautrec loved the theater and designed programs for the avant-garde productions of the Théâtre Antoine, where he held season tickets, and the Symbolist stagings of the Théâtre de l’Oeuvre. Assembled by the French bibliophile, print collector, and theatergoer Henri Beraldi, this remarkable album of theater programs, which includes fifty programs by Lautrec, Pierre Bonnard, Edouard Vuillard, and others, offers unique evidence of the cross-fertilization of art and theater in fin-de-siècle Paris."
"AMERICAN","Silver-gelatin print","8 x 10"" (20.3 x 25.4 cm)","A&D Graphic Design","Robert Brownjohn, Herbert Spencer","http://www.moma.org/collection/works/155395","Y","Preparatory Study for Goldfinger Title Sequence","2011-12-06","1964","Y","Architecture & Design","1094.2011.10","(American, 1925–1970)","Gift of Don Goeman","155395","In preparing the title sequence for Goldfinger, Brownjohn—together with his assistant, Trevor Bond, and friend Herbert Spencer—experimented at length with camera angles and projected lighting in a darkened studio with actress Margaret Nolan. Brownjohn explained his exploratory method in an interview a couple years later: “It was all done in the camera, which is the way I like to do films, you know. I hate storyboards and scripts. It’s nice just to have an idea and go on the floor and play around with the camera and the lights, and then shoot what you want.”"
"PORTUGUESE","Ink on paper","29 1/2 x 53 1/8"" (75 x 135 cm)","A&D Architectural Drawing","Álvaro Siza","http://www.moma.org/collection/works/161455","Y","SAAL S. Victor Social Housing, Porto, Portugal (Elevations)","2012-06-07","1974-1977","Y","Architecture & Design","874.2012","(Portuguese, born 1933)","Architecture & Design Purchase Fund","161455","This housing project in Porto is one of Siza’s most politically engaged works—due to the architect’s sensitive relation to the existing urban context and the involvement of the population in the process of design. Like other large-scale residential projects at the time, the housing was designed for the Serviço de Apoio Ambulatório Local (SAAL), a government organization that addressed the lack of safe and affordable housing in Portugal after the revolution of 1974. Part of a greater planning intervention intended to renovate a densely packed neighborhood in the historical center of the city, the row of twelve houses fills the small site, adapting itself to the locale and offering an alternative for tabula rasa approaches to urban renovation. Poetically blending regional and modern references, the project demonstrates that a scarcity of resources can result in a resonant cultural and political architectural statement."
"AMERICAN","Pencil and colored pencil on paper","28 x 18"" (71.1 x 45.7 cm)","A&D Architectural Drawing","Douglas Darden","http://www.moma.org/collection/works/164214","Y","Oxygen House Project (Elevation)","2012-10-15","1988","Y","Architecture & Design","1696.2012","(American, 1951–1996)","Gift of Allison Collins","164214","Darden designed Oxygen House for Burnden Abraham, an imaginary disabled signalman working for the Southern Pacific railroad in the make-believe town of Frenchman’s Bend, Mississippi. In the story, Abraham is injured in the derailment of a train and confined to an oxygen tent. He dies right after the foundations for the house are set (located on the spot where the accident occurred). The character is inspired by a passage of William Faulkner’s 1930 novel As I Lay Dying devoted to the death of a character named Addie Burnden. The allegorical nature of the drawing reveals Darden’s exploration of the narrative potential of architecture by weaving together heterogeneous elements like an intricate puzzle; it is also influenced by his own experience coping with terminal illness."
"AMERICAN","Eighty 35mm color slides","Dimensions variable. Continous projection.
Slide (each): 2 x 2""","Installation","Allan Sekula","http://www.moma.org/collection/works/167222","Y","Fish Story: Walking on Water (Chapter 9)","2013-02-12","1990","Y","Media and Performance Art","221.2013","(American, 1951–2013)","Acquired through the generosity of Marie-Josée Kravis","167222","Fish Story, Sekula's magnum opus, underscores photography's role in labor history and in working class responses to globalization. The project has seven chapters, incorporating 105 color photographs, twenty-six black-and-white text panels, and two slide projections. Chapter One documents the central role of the sea in the modern global economy, bringing together images from the world’s port cities. The photographs constitute a unique record of unemployment and dilapidation in the old industrial powers, the capitalist pursuit of cheap labor around the globe, and the strenuous work of seafaring."
