"Medium","Dimensions","Classification","Artist","URL","ArtistNationality","Title","CreditLine","DateAcquired","Department","HasExtraText","MoMANumber","Date","ArtistBio","CuratorApproved","ObjectID","ExtraText","AlchemyConcepts"
"Lithograph","composition (irreg.): 14 3/8 x 10 5/8"" (36.5 x 27 cm); sheet: 14 15/16 x 11 1/8"" (38 x 28.2 cm)
","Print","Henri de Toulouse-Lautrec","http://www.moma.org/collection/works/102928","FRENCH","Miss Loïe Fuller","General Print Fund","6/1/2006","Prints & Illustrated Books","Y","513.2006","1893","(French, 1864–1901)","Y","102928","The American dancer Loïe Fuller was responsible for many innovations in costuming, production design, and even colored stage lighting. Her work spawned countless imitators at the time and has had a strong influence on modern dance. In her debut at the Folies-Bergère in 1892, her set included her signature serpentine dance, and the white dance, in which fabric whirled around her, bathed in the glow of continually shifting colored lights. Many artists attempted to capture the effect of Fuller's magical performances, including Lautrec, who made sixty impressions of this masterful lithograph, each in a different combination of colors and some dusted with metallic pigments.","Light (0.967151), Isadora Duncan (0.861731), Martha Graham (0.826092), Doris Humphrey (0.736756), Dance (0.71462), Loie Fuller (0.7073), Debut albums (0.701816), Color (0.637646)"
"Acrylic, fluorescent lights, and polyurethane","13 7/8 x 35 3/8 x 51 1/4"" (35.2 x 89.9 x 130.2 cm)
23 3/4"" (60.3 cm)","A&D Architectural Model","Jürgen Mayer H.","http://www.moma.org/collection/works/100411","GERMAN","Metropol Parasol, Seville, Spain, Scale model 1:200","Fund for the Twenty-First Century","5/24/2006","Architecture & Design","Y","442.2006","2004-2007","(German, born 1965)","Y","100411","Within the densely packed fabric of the old city of Seville, the Plaza de la Encarnación was left empty after its nineteenth-century market structures were dismantled in 1973. When Roman ruins were found under the plaza, Seville's government had to reconsider the significance of this pocket of land. It launched an international design competition for a project that would generate the kind of social exchange and commercial activity that the plaza had once provided the city. In Mayer H.'s winning scheme, mushroom-shaped growths shade the open plaza below, where a raised platform sits atop a new market hall, creating a stage for public events and a new hive of activity. Taking its cues from the vaults of Seville's cathedral, the design fulfills the architect's aspiration to create a “cathedral without walls” that would be “democratic” and also establish a unique relationship between the archeological past and the city's contemporary uses.","New York City (0.922043), Ruins (0.692019), Seville (0.68), Exchange (0.677608), Andalusia (0.648), The Matrix Reloaded (0.64486)"
"Laser-sintered nylon","25 13/16 x 3 15/16"" (65.6 x 10 cm)","A&D Design","Patrick Jouin","http://www.moma.org/collection/works/102958","FRENCH","Oneshot.MGX Stool","Gift of the A+D Circle","5/24/2006","Architecture & Design","Y","450.2006","2006","(French, born 1967)","Y","102958","Jouin utilizes selective laser sintering (SLS), a particular type of 3-D printing, to produce the entire seating surface, legs, and hidden integral articulations of this stool in just one shot (hence the object's name). With this stool's array of rods and its simple, elegant twist—fabricated in one manufacturing step—Jouin has created an innovative seating typology.","Selective laser sintering (0.962694), Rapid manufacturing (0.603508), 3D printing (0.5271)"
"Lithograph","40 x 26"" (101.6 x 66 cm)","A&D Graphic Design","Stefan Sagmeister","http://www.moma.org/collection/works/102922","AMERICAN","Punctuation","Gift of the designer","5/24/2006","Architecture & Design","Y","472.2006","2004","(American, born Austria 1962)","Y","102922","Sagmeister set up his graphic design studio in New York in 1993, focusing at first on the music industry—his CD covers for Lou Reed, David Byrne, and the Rolling Stones are well known—then on other commercial commissions and pro bono cultural projects such as a series of posters for the American Institute of Graphic Arts (AIGA).Punctuation is one of twenty-four limited-edition posters commissioned by the Neenah Paper company in 2004 to raise money for the Books for Kids Foundation. A number of New York designers were each given a punctuation symbol to work with. Sagmeister got the apostrophe and based his poster on the premise that an “apostrophe is in the letter-elimination business.” The same image was later used to illustrate a 2007 New York Times article about the controversy around the use of the comma in the Second Amendment and the difference that a mere punctuation sign can make in the interpretation of each citizen's right to carry a gun. This poster typifies Stefan Sagmeister's at once striking and humorous style as well as his ability to come up with a compelling concept and execute it with a raw and straightforward technique.","Typography (0.96482), Graphic design (0.877971), Punctuation (0.567945), Colon (0.553263), Full stop (0.510026), Everything That Happens Will Happen Today (0.50532), Advertising (0.491754), Art Nouveau (0.472116)"
"Lithograph","39 x 27 1/2"" (99.1 x 69.9 cm)","A&D Graphic Design","Stefan Sagmeister","http://www.moma.org/collection/works/102915","AMERICAN","AIGA Detroit","Gift of the designer","5/24/2006","Architecture & Design","Y","469.2006","1999","(American, born Austria 1962)","Y","102915","Sagmeister set up his graphic design studio in New York in 1993, focusing at first on the music industry—his CD covers for Lou Reed, David Byrne, and the Rolling Stones are well known—then on other commercial commissions and pro bono cultural projects such as a series of posters for the American Institute of Graphic Arts (AIGA).In his most famous poster, for a lecture at Cranbrook college near Detroit, Sagmeister sought to visually convey the pain that accompanies most of the studio's design projects. He asked an intern to carve all the text onto his own torso with an X-Acto knife and photograph the result.This poster typifies Stefan Sagmeister's at once striking and humorous style as well as his ability to come up with a compelling concept and execute it with a raw and straightforward technique.","Graphic design (0.94889), Typography (0.684758), Everything That Happens Will Happen Today (0.61479), Utility knife (0.585681), Rock music (0.559399), Grammy Award winners (0.546208), Advertising (0.541443), Knives (0.531195)"
"Lithograph","26 1/2 x 37 1/2"" (67.3 x 95.3 cm)","A&D Graphic Design","Stefan Sagmeister","http://www.moma.org/collection/works/102918","AMERICAN","AIGA New Orleans","Gift of the designer","5/24/2006","Architecture & Design","Y","468.2006","1997","(American, born Austria 1962)","Y","102918","Sagmeister set up his graphic design studio in New York in 1993, focusing at first on the music industry—his CD covers for Lou Reed, David Byrne, and the Rolling Stones are well known—then on other commercial commissions and pro bono cultural projects such as a series of posters for the American Institute of Graphic Arts (AIGA).Sagmeister's signature scribbly type appears in a poster for the AIGA Biennial Conference in New Orleans. The headless chicken strutting across a field is at the same time a metaphor of the profession of graphic designer, an invitation to stop running around and attend the conference, a voodoo symbol linked to the site of the conference, and a statement against the abuse of technology and the over-sleek graphics of the 1990s.This poster typifies Stefan Sagmeister's at once striking and humorous style as well as his ability to come up with a compelling concept and execute it with a raw and straightforward technique.","Graphic design (0.963414), Typography (0.610664), Design (0.496506), Graphics (0.445682)"
"Lithograph","24 x 39"" (61 x 99.1 cm)","A&D Graphic Design","Stefan Sagmeister","http://www.moma.org/collection/works/102919","AMERICAN","Fresh Dialogue","Gift of the designer
","5/24/2006","Architecture & Design","Y","467.2006","1996","(American, born Austria 1962)","Y","102919","Sagmeister set up his graphic design studio in New York in 1993, focusing at first on the music industry—his CD covers for Lou Reed, David Byrne, and the Rolling Stones are well known—then on other commercial commissions and pro bono cultural projects such as a series of posters for the American Institute of Graphic Arts (AIGA).Two tongues opposing each other were Sagmeister's choice to announce a design lecture series called Fresh Dialogue. Photographer Tom Schierlitz shot two cow tongues from a nearby market with a large-format camera. The somewhat obscene effect of the elongated wagging tongues was well received by the Sagmeister Studio, but not by some AIGA members.This poster typifies Stefan Sagmeister's at once striking and humorous style as well as his ability to come up with a compelling concept and execute it with a raw and straightforward technique.","Graphic design (0.960704), Design (0.585677), Typography (0.563245), Everything That Happens Will Happen Today (0.5589), Rock music (0.493158), Grammy Award winners (0.488816), Communication design (0.462176), Art Nouveau (0.460633)"
"Pigmented inkjet print and 3 DVDs","7' 2 5/8"" x 18' 4 1/2"" (220 x 560 cm) 
3 DVDs each 7 min. 28 sec.","Photograph","Jules Spinatsch","http://www.moma.org/collection/works/102583","SWISS","Panorama: World Economic Forum, Davos 2003. Camera A, Congress-Center North and Middle Entry, 2176 Still Shots, 24.01.03, 06h35-09h30, Hotspots: World Economic Forum, Davos. Hotspot A4.1, promenade; Hotspot A1.1, north and middle entry; Hotspot A2/3/5/6.1, parking, congress hotel, carlton, congress center","Fund for the Twenty-First Century","5/11/2006","Photography","Y","432.2006.1-2","2003","(Swiss, born 1964)","Y","102583","This installation documents the preparations for the January 2003 World Economic Forum, in which the entire valley of Davos, Switzerland, was temporarily transformed into a high-security zone. In the period leading up to the forum, Spinatsch installed three remote-controlled cameras outside different buildings. One was programmed to record up to 2,500 images over three hours, from 6:35 to 9:30 A.M., while slowly rotating vertically and horizontally. Spinatsch assembled the shots in a high-resolution panorama that shows random moments captured frame by frame as well as the transition from dawn to early morning. Instead of a photojournalistic account of the event, the artist presents the leadup to the forum, revealed as meticulously planned and tightly controlled.","World Economic Forum (0.969199), Switzerland (0.770037), Davos (0.673054), 2007 albums (0.56938), Economy of Switzerland (0.480484)"
"Pencil on paper","91 1/4 x 71 3/4"" (231.8 x 182.2 cm)","Drawing","Fiona Banner","http://www.moma.org/collection/works/102559","BRITISH","Nude Standing","Purchase","5/9/2006","Drawings","Y","371.2006","2006","(British, born 1966)","Y","102559","In this monumental drawing, Banner narrates a detailed portrait of a nude woman, calling attention to the act of viewing and critiquing the ubiquity of the female nude in the history of art. ""Using words as opposed to line and color is a way of being able, on my own personal turf, to reinvent the nude,"" Banner has said. Faintly visible in the background is a shadowy image of an airplane's tail fin—the remnant of a larger series in which the artist worked with descriptions and actual parts of fighter planes and helicopters. Banner, a member of the Young British Artist cohort that emerged in London in the 1990s, is interested in the intersection of war and beauty in Western cultural memory.","Art (0.933097), World War II (0.867506), Psychology (0.865674), Culture (0.765708), Neuroscience (0.749603), World War I (0.705944), Nudity (0.6942), Fighter aircraft (0.693923)"
"Charcoal and watercolor on paper","135 7/8 x 252 1/8"" (345.1 x 640.4 cm)","Drawing","Paul McCarthy","http://www.moma.org/collection/works/102426","AMERICAN","Baby World","Purchased with funds provided by Kathy and Richard S. Fuld, Jr.","5/9/2006","Drawings","Y","384.2006","1984","(American, born 1945)","Y","102426","McCarthy is best known for his elaborate performances. This monumental and expressive drawing is an extension of that practice, created on the floor of Edge Gallery in Fullerton, California. ""It was an intentional decision,"" McCarthy said, ""to do the drawing as an action.""  The artist's interest in childhood, sexuality, and the body are hightlighted by strong, forceful lines that recall the physical creation of the work, as well as the narrative development of the figures.  Baby bottles, phallic forms, and various other images meld together in a frenzy of performative activity.","English-language films (0.907967), 2004 albums (0.822055), The Work (0.81503), Black-and-white films (0.811733)"
"Cast polycaprolactone thermoplastic and self-lubricating plastic","Dimensions variable, approximately 8' 8"" x 20' 3"" x 30"" (264.2 x 617.2 x 76.2 cm)","Installation","Matthew Barney","http://www.moma.org/collection/works/102931","AMERICAN","The Deportment of the Host","Gift of Maja Oeri and Hans Bodenmann","5/8/2006","Painting & Sculpture","Y","357.2006","2006","(American, born 1967)","Y","102931","In this large sculpture, the white shell of a teahouse appears to have ruptured, revealing a space awash with the archaeological remnants of a tea ceremony. This enigmatic work, titled after the rules of Japanese tea ceremonies, alludes to Shinto tradition and tenets about the natural world and represents the symbiotic but troubled relationship between humans and nature.The sculpture is related to Barney's 2004 film Drawing Restraint 9, a collaboration with the Icelandic musician Björk. In the film the teahouse—on the Japanese whaling ship Nisshin Maru—is the site of an elaborate tea ceremony and a visceral love scene between Barney and Björk. A storm shakes the ship, and the teahouse is flooded with petroleum jelly. The partially submerged couple undergoes a violent and ritualized metamorphosis into whales.To make this symbolic sculpture, Barney cast the teahouse in petroleum jelly. When it collapsed he cast the remains in thermoplastic, a durable industrial material. Thus the artist conceived a transformative process analogous to the harvesting and processing of whales and, particularly, to the extraction of oil from blubber. The film and sculpture both address the intersection of artistic, biological, and industrial transformations epitomized by imagery of the whale harvest.","Japanese tea ceremony (0.964719), Tea (0.76741), Tea ceremony (0.732634), Tea culture (0.709651), Cetacea (0.689993), Humpback whale (0.599217), Ritual (0.560401), Institute of Cetacean Research (0.55833)"
"Oil on canvas","43 3/8 x 51 1/4"" (110.2 x 130.2 cm)","Painting","Marlene Dumas","http://www.moma.org/collection/works/102421","SOUTH","Jen","Fractional and promised gift of Marie-Josée and Henry R. Kravis","5/8/2006","Painting & Sculpture","Y","360.2006","2005","(South African, born 1953)","Y","102421","Best known for her portraits in watercolor, Dumas here employs a richly toned palette of oil paint, punctuating the female subject's white skin with a deep red nipple and slashes of blue and black at the eye and lips. One of a series of emotive portraits of laid-out corpses, the woman's head is taken from a still from the 1970 film Fly, by Yoko Ono, which follows houseflies as they explore the naked body of an actress. Dumas, who aims ""to portray people in all their complexity and never [as a] completely definable entity,"" has succeeded in rendering an image of provocative ambiguity through her use of color, cropping, and foreshortening.","Yoko Ono (0.970217), Double Fantasy (0.819233), Eye (0.765303), Color (0.727864), Painting (0.691775), Yoko Ono/Plastic Ono Band (0.653214)"
"Silver beads, silver chains, and acrylic sheet","12' x 40"" (365.8 x 101.6 cm)","Sculpture","Carol Bove","http://www.moma.org/collection/works/102473","AMERICAN","Silver Compass","Fund for the Twenty-First Century","5/8/2006","Painting & Sculpture","Y","359.2006","2005","(American, born Switzerland 1971)","Y","102473","Here Bove has devised a system in which beads are laboriously attached at one-centimeter intervals. The process of hand crafting ensures that the work ""is not perfect,"" the artist has said, and ""the passage of time is marked through the process of its making."" Silver Compass is meant to be installed facing due north, prioritizing an orientation to Earth rather than to any built environment.","Orientation (0.914898), The Passage (0.85974), Natural environment (0.797916)"
"Cardboard","Dimensions variable","Sculpture","Tobias Putrih","http://www.moma.org/collection/works/102487","SLOVENIAN","Macula series A&L","Fund for the Twenty-First Century","5/8/2006","Painting & Sculpture","Y","366.2006.1-3","2005","(Slovenian, born 1972)","Y","102487","Putrih, who studied physics before turning to art, draws inspiration from the pure geometric forms of modernist architecture. But among the challenges he sets for himself is ""to make an object that expresses its own self–doubt, that questions its own existence.""","Modernism (0.911241), Mathematics (0.710358), Le Corbusier (0.679673), Bauhaus (0.670226), Space (0.613759)"
"Oil on canvas","60 x 54"" (152.4 x 137.2 cm)","Painting","Edward Ruscha","http://www.moma.org/collection/works/102875","AMERICAN","Rancho","Gift of Steven and Alexandra Cohen","5/8/2006","Painting & Sculpture","Y","367.2006","1968","(American, born 1937)","Y","102875","""Rancho"" is the colloquial Southwestern term for both ranch–style houses and ranch salad dressing.  Many single words offer clear signals—stop, go, open, closed—but Ruscha has made a career of painting and drawing words with more ambiguous associations.  This unusual word is made even more cryptic by its representation in trompe l'oeil letters that simulate liquid.  The work belongs to a group of canvases Ruscha made during what he described as his ""romance with liquids.""  Ruscha has lived and worked in Los Angeles since 1956, when he moved there from Oklahoma.  With its fiery sunset colors, the painting seems connected to L.A., a city filled with larger–than–life words, from illuminated gas station logos and movie marquees to the iconic Hollywood sign.","Los Angeles (0.955507), California (0.684811), Gas (0.57449), Liquid (0.562785), Hollywood, Los Angeles, California (0.557165), Viscosity (0.505221), Film (0.495018), City (0.494992)"
"Watercolor and gouache over aquatint and etching from an untitled series of thirteen unique works on paper","composition: 18 11/16 x 26 5/8"" (47.4 x 67.7 cm); sheet: 24 7/8 x 32 3/8"" (63.2 x 82.3 cm)","Print","Jasper Johns","http://www.moma.org/collection/works/100505","AMERICAN","Untitled","Anonymous fractional and promised gift","4/10/2006","Prints & Illustrated Books","Y","352.2006.1","2001","(American, born 1930)","Y","100505","Johns began this series with leftover, rejected sheets from two editions of prints. He spent a month cutting and pasting elements and painting and drawing over them to come up with these thirteen works. They offer an almost musical sense of variation in tone yet remain linked thematically.","Sound (0.91316), Drawing (0.901214), Painting (0.889343)"
"Portfolio of twenty-two woodcuts","composition and sheet (each approx.): 23 9/16 x 15 11/16"" (59.8 x 39.9 cm)","Print","David Shrigley","http://www.moma.org/collection/works/102053","BRITISH","Untitled","The Associates Fund","3/8/2006","Prints & Illustrated Books","Y","292.2006.1-22","2005","(British, born 1968)","Y","102053","""I'm actually trying to make things that are accessible and enjoyable to others,"" Shrigley has said. Like a compulsive doodler with an infectiously mordant sense of humor, the Glasgow-based artist makes deceptively simple-looking drawings and, to a lesser extent, paintings. Complete with childlike stick figures and crudely scrawled texts, they speak to the paranoid fantasies and everyday pathos of adulthood.Shrigley, who is highly prolific, has compiled many of his images into artist's books and other printed formats that can circulate to large audiences—such as series of etchings and, most recently, these woodcuts. In the woodcut at left, Shrigley conjures up the cartoon language of sleep; his repeated Z's also make a typically self-deprecating comment about the possible ""snooze factor"" of his art or, perhaps, other types of art involving similarly repetitive geometries, such as Minimalism. Composed of boldly graphic slashes, Shrigley's Z's suggest the sound of sawing through wood, the process by which this image was made. ""I liked the physicality of cutting the [wood] plates,"" the artist has said. ""It was very brutal and slightly haphazard, perhaps a little crude, which I think makes the images sit comfortably alongside my drawings.""","Printmaking (0.96677), Woodcut (0.727567), Art (0.706266), Painting (0.648641), Humor (0.633105), Old master print (0.630944), Computer graphics (0.516354), Humour (0.494981)"
"Portfolio of ninety offset prints with audio CD","each (approx.): 39 1/2 x 11 7/8"" (100.4 x 30.1 cm)","Print","Olaf Nicolai","http://www.moma.org/collection/works/102054","GERMAN","30 Colors (30 Farben)","The Associates Fund","3/8/2006","Prints & Illustrated Books","Y","283.2006","2005","(German, born 1962)","Y","102054","Nicolai selected the colors for this project from the thousands of hues standardized by Pantone, an international company that specializes in color and whose products are widely used in the fields of art and design. He is fascinated by the effects standardization has had on artistic practice and by functional applications of color in everyday life. Nicolai encourages the owners of this print project to devise their own patterns for installation.","Art (0.948253), Graphic design (0.843128), Hue (0.833497), Color space (0.790675), Design (0.722251), Conceptual art (0.714968), Visual arts (0.647501)"
"Lithograph on rubber","composition (irreg.): 57 3/4 x 22"" (146.7 x 55.9 cm); sheet (irreg.): 57 3/4 x 22"" (146.7 x 55.9 cm)","Print","Jean-Charles Blais","http://www.moma.org/collection/works/101646","FRENCH","Panoply #3","The Associates Fund","3/8/2006","Prints & Illustrated Books","Y","242.2006","2000","(French, born 1956)","Y","101646","Blais, who came to the forefront of the international art scene in the 1980s, situates the human figure at the core of his practice, often pointing to the body's vulnerability and fragmentation in the modern world. Recently Blais has turned to textiles and sewn fragments of clothing for his materials—a direction he explores in this lithograph.Unusual in format and technique, Panoply #3 features a photographically rendered women's garment overlaid with a disembodied head. Enhancing the work's eerie presence, Blais printed the image on a sheet of rubber — a material he favors for its textural similarity to skin. He then cut along the contours of the tunic and head, playing the role of tailor, butcher, and artist all at once. Seemingly mutilated and flayed for display, this shadowy figure tacked to the wall communicates a palpable sense of violation and absence.Discussing this work, Blais has said, ""I feel that every picture of someone—whether a photograph, a painting, or a fashion image—has more or less something to do with ghosts."" Images, he suggests, both mechanical and hand-made, are feeble specters meant to stand in for robust human complexities. Titled after the armor of a warrior, Panoply #3 hints at the body's susceptibility to the ravages of representation.","Clothing (0.946507), Image (0.765883), The Work (0.61074), The Core (0.609986), IMAGE (0.607861), The Contours (0.595967), The Wall (0.581307), The Ravages of Time (0.580911)"
"Series of seven glazed ceramic multiples","overall (each): various dimensions","Multiple","Fiona Banner","http://www.moma.org/collection/works/101777","BRITISH","Table Stops","Mary Ellen Oldenburg Fund","3/8/2006","Prints & Illustrated Books","Y","239.2006.1-7","2000","(British, born 1966)","Y","101777","Banner refers to her Table Stops as “abstract points of focus.” Sleek black objects reminiscent of paperweights on an executive's desk, these forms are based on punctuation marks (periods, or full stops) as they appear in a range of fonts: Klang, Slipstream, Avant-Garde, Nuptial, Formata, Optical, and Courier. The marks, transformed into three dimensions and enlarged at the same scale, have no fixed arrangement; presented together, they enact what the artist has called “a silent conversation.”","Punctuation (0.938227), Typography (0.909404), Full stop (0.909247), Dimension (0.627417), Table (0.615825)"
"Charcoal, colored pencil, and pastel on paper","47 1/4 x 63"" (120 x 160 cm)","Drawing","William Kentridge","http://www.moma.org/collection/works/101928","SOUTH","Drawing from the series Preparing the Flute. Design for backdrop for the opera The Magic Flute","Fractional and promised gift of Agnes Gund","2/14/2006","Drawings","Y","220.2006","2005","(South African, born 1955)","Y","101928","For the 2005 De Munt/La Monnaie production (premiere Brussels). Music by Wolfgang Amadeus Mozart. Directed by William Kentridge. Music direction by René Jacob and Piers Maxim. Designed by Kentridge and Sabine Theunissen. Costumes by Greta Goiris In preparation for directing and co-designing a production of Mozart's The Magic Flute, Kentridge created two bodies of work, Learning the Flute and Preparing the Flute. Through these drawings and models Kentridge arrived at the central metaphor of the stage as camera. His design employs photography's positive and negative imagery to emphasize the opera's larger themes—characters include both the Queen of the Night and Sarastro, the high priest of light. In this process-oriented design Kentridge marks up the perspectival space, maintaining the active sense of erasure and revision that characterizes the drawings for his stop-motion films.","Wolfgang Amadeus Mozart (0.976056), The Magic Flute (0.930856), Opera (0.922022), Singspiel (0.650467), Franz Xaver Gerl (0.635358)"
"Pencil with petroleum jelly on paper sewn with thread to prosthetic plastic","24 x 19 x 1"" (61 x 48.3 x 2.5 cm)","Drawing","Matthew Barney","http://www.moma.org/collection/works/102052","AMERICAN","Program: Houdini, O'Williams, Otto (HO2)","Purchase","2/14/2006","Drawings","Y","217.2006","-1991","(American, born 1967)","Y","102052","Barney's small drawing, mounted on a hinged apparatus of prosthetic plastic, diagrams the three personalities identified in the title of the work: famed magician Harry Houdini, punk-rock star Wendy O. Williams of the band the Plasmatics, and football legend Jim Otto. The artist's identification with athletes and performers indicates his interest in physical strength, endurance, and exaggerated performance. Barney, who draws from his own experience as an athlete, is perhaps best known for his extravagant films featuring bizarre characters involved in ritualized activities. The notational and cryptic pencil map, attached to a movable armature, links seemingly diverse personas and their physical actions with the graphic mark.","Wendy O. Williams (0.96462), Plasmatics (0.939656), Harry Houdini (0.778258)"
"Optical glass","13 x 30 x 30"" (33 x 76.2 x 76.2 cm)","Sculpture","Roni Horn","http://www.moma.org/collection/works/102070","AMERICAN","Untitled (Aretha)","Fractional and promised gift of Kathy and Richard S. Fuld, Jr.","2/13/2006","Painting & Sculpture","Y","211.2006","2002-04","(American, born 1955)","Y","102070","This piece grew out of Horn's early fascination with stained glass windows and her subsequent training in glassmaking. It was cast from the highly refined and completely transparent optical glass used for manufacturing lenses and prisms. The title, which Horn intends to act as ""an entrance to something but never an explanation,"" refers to the legendary vocalist Aretha Franklin.","Optical fiber (0.948953), Louis Comfort Tiffany (0.922423), Stained glass (0.90459), Sculpture (0.825009), Glassblowing (0.772733), Glass history (0.72749), Glass art (0.717564), Window (0.669503)"
"Oil on canvas on wood","9' 5"" x 11' 3"" x 1 1/2"" (287 x 342.9 x 3.8 cm)","Painting","Elizabeth Murray","http://www.moma.org/collection/works/98564","AMERICAN","Do the Dance","Gift of Jo Carole and Ronald S. Lauder, Agnes Gund, and Arne Glimcher","2/13/2006","Painting & Sculpture","Y","212.2006.a-e","2005","(American, 1940–2007)","Y","98564","The title comes from the 1960 Ray Charles/Betty Carter hit Murray listened to while painting this work. The imagery within the jumbled and interrupted maze is at once comic and abject, recognizable and uncanny—an overturned bottle, faces, bodies, and organs, as well as references to the paintings of Joan Miró and Pablo Picasso. Unlike these painters, who applied paint to flat canvases, Murray describes her process as ""a construction."" ""The painting comes to me in pieces and it goes up on the wall,"" she has said.","Cubism (0.964723), Collage (0.842898), Drawing (0.763502), Painting (0.635774), Oil painting (0.607113), History of painting (0.586508)"
"Oil on canvas","65 x 44 1/2"" (165.1 x 113 cm)","Painting","Luc Tuymans","http://www.moma.org/collection/works/102056","BELGIAN","Demolition","Fractional and promised gift of Leonard and Susan Feinstein","2/13/2006","Painting & Sculpture","Y","215.2006","2005","(Belgian, born 1958)","Y","102056","Tuymans based this painting of a dense, billowing cloud on a photograph taken during the collapse of one of the World Trade Center towers in 2001. While the widely circulated source image is steeped in emotional potency, Tuymans has removed all markers of context, save for fragments of a streetlamp (at bottom left) and flagpole (at right), and has titled the work Demolition. The artist, who considers painting to be an antiquated medium, uses ""color to play with time."" ""By mixing white and color . . . I could make a canvas seem as though it had existed for thirty or forty years,"" he has said. Tuymans deliberately makes his paintings ""look old from the start . . . because they are about memory.""","World Trade Center (0.959425), 2001 (0.787015), Painting (0.617893), September 11 attacks (0.610965), World Trade Center Tower 5 (0.572784)"
"Oil on canvas","18 x 24 3/8"" (45.7 x 61.9 cm)","Painting","Luc Tuymans","http://www.moma.org/collection/works/102057","BELGIAN","The Secretary of State","Fractional and promised gift of David and Monica Zwirner","2/13/2006","Painting & Sculpture","Y","216.2006","2005","(Belgian, born 1958)","Y","102057","In 2005 Condoleezza Rice left her position as national security advisor to replace Colin Powell as United States secretary of state. That same year, for the second time, Forbes magazine ranked her the most powerful woman in the world. In this painting Rice's likeness is heavily cropped and faded in color, as if she has already been relegated to history, but her formidable presence is undiminished. The immediacy is further amplified by the close-up view, which at the same time proscribes intimacy, denies psychological insight, and holds back communication on issues of gender and race. Rice's averted eyes and focused grimace communicate nothing. In Tuymans's painting this immensely powerful woman, appointed to negotiate controversial wars and world conflicts, remains a public figure—a media image.Tuymans has often presented highly charged political subject matter. He has taken up historical episodes such as colonialism and the Holocaust, and prominent figures such as Patrice Lumumba (assassinated prime minister of the Democratic Republic of the Congo) and Nazi architect Albert Speer. Tuymans's cool, detached treatment keeps horror outside the picture, but his paintings evoke deeply troubled histories. ""Violence,"" the artist has said, ""is the only structure underlying my work.""","Condoleezza Rice (0.96791), Democratic Republic of the Congo (0.792166), Colin Powell (0.779527), Nazi Germany (0.768776), Republic (0.698919), World War II (0.657342), Albert Speer (0.656787), Patrice Lumumba (0.633635)"
"Painted wood on carved wood","16 3/4 x 10 5/8 x 4"" (42.5 x 27 x 10.2 cm)","Sculpture","Sérgio Camargo","http://www.moma.org/collection/works/102058","BRAZILIAN","Edge","Purchase","2/13/2006","Painting & Sculpture","Y","210.2006","1962","(Brazilian, 1930–1990)","Y","102058","In this work Camargo highlights an optical and kinetic aesthetic without denying the natural features of material roughness: the artist has inserted one of his signature reliefs into the massive, elemental presence of a raw piece of wood. The raw material functions as a sculptural body, supporting the beautiful, vibrating surfaces typical of Camargo's repertoire. A dialogue is established between the body of the sculpture and its surface, between the organic textures of nature and the carefully crafted ornaments of art.","Sculpture (0.943977), Art (0.88853), Aesthetics (0.753643), Nature (0.618623)"
"Mylar","23' 11"" x 29' 6 1/2"" (729 x 900 cm) unfolded; 4 3/4 x 3 1/2 x 1 1/8"" (12 x 9 x 3 cm) folded","A&D Design","Bernard William Hanning, Vernon Pascoe","http://www.moma.org/collection/works/94593","BRITISH","3-in-1 Inflatable Kite / Splint / Body Warmer","Gift of Skystreme UK, Ltd.","2/9/2006","Architecture & Design","Y","109.2006","c. 1990","(British, born 1942) (New Zealander, 1942–1999)","Y","94593","Developed by Brooklyn-based Crye Precision in cooperation with the US Army Natick Soldier Center, this camouflage—which exploits optical illusions and high-resolution digital fades from one color to another—comes in one standardized pattern and colorway that is suitable for use anywhere, whether desert, mountain, or jungle. The MultiCam's base color is more neutral than a desert or woodland, and the pattern itself is subtle enough to reflect the shades of any surrounding area, thus allowing it to be adaptable to multiple environments, seasons, elevations, and light conditions.","Color (0.970901), United States Army (0.57684), Army Combat Uniform (0.525288), Light (0.462545), Continental Army (0.394233), Vietnam War (0.378136), Rainbow (0.376052), United States (0.364707)"
